time,x,y,z
6.16,33.089,39.4173,-2.25011e-08
6.18,33.089,39.4173,-2.25011e-08
6.2,33.089,39.4173,-2.25011e-08
6.22,33.089,39.4173,-2.25011e-08
6.24,33.089,39.4173,-2.25011e-08
6.26,33.089,39.4173,-2.25011e-08
6.28,33.089,39.4173,-2.25011e-08
6.3,33.089,39.4173,-2.25011e-08
6.32,33.089,39.4173,-2.25011e-08
6.34,33.089,39.4173,-2.25011e-08
6.36,33.089,39.4173,-2.25011e-08
6.38,33.089,39.4173,-2.25011e-08
6.4,33.089,39.4173,-2.25011e-08
6.42,33.089,39.4173,-2.25011e-08
6.44,33.089,39.4173,-2.25011e-08
6.46,33.089,39.4173,-2.25011e-08
6.48,33.089,39.4173,-2.25011e-08
6.5,33.089,39.4173,-2.25011e-08
6.52,33.089,39.4173,-2.25011e-08
6.54,33.089,39.4173,-2.25011e-08
6.56,33.089,39.4173,-2.25011e-08
6.58,33.089,39.4173,-2.25011e-08
6.6,33.089,39.4173,-2.25011e-08
6.62,33.089,39.4173,-2.25011e-08
6.64,33.089,39.4173,-2.25011e-08
6.66,33.089,39.4173,-2.25011e-08
6.68,33.089,39.4173,-2.25011e-08
6.7,33.089,39.4173,-2.25011e-08
6.72,33.089,39.4173,-2.25011e-08
6.74,33.089,39.4173,-2.25011e-08
6.76,33.089,39.4173,-2.25011e-08
6.78,33.089,39.4173,-2.25011e-08
6.8,33.089,39.4173,-2.25011e-08
6.82,33.089,39.4173,-2.25011e-08
6.84,33.089,39.4173,-2.25011e-08
6.86,33.089,39.4173,-2.25011e-08
6.88,33.089,39.4173,-2.25011e-08
6.9,33.089,39.4173,-2.25011e-08
6.92,33.089,39.4173,-2.25011e-08
6.94,33.089,39.4173,-2.25011e-08
6.96,33.089,39.4173,-2.25011e-08
6.98,33.089,39.4173,-2.25011e-08
7,33.089,39.4173,-2.25011e-08
7.02,33.0903,39.4332,-2.25011e-08
7.04,33.0928,39.4651,-2.25011e-08
7.06,33.0965,39.513,-2.25011e-08
7.08,33.1015,39.5768,-2.25011e-08
7.1,33.1077,39.6565,-2.25011e-08
7.12,33.1151,39.7522,-2.25011e-08
7.14,33.1238,39.8639,-2.25011e-08
7.16,33.1337,39.9915,-2.25011e-08
7.18,33.1449,40.1351,-2.25011e-08
7.2,33.1573,40.2946,-2.25011e-08
7.22,33.171,40.4701,-2.25011e-08
7.24,33.1859,40.6615,-2.25011e-08
7.26,33.202,40.8689,-1.49012e-08
7.28,33.2194,41.0922,-7.59992e-09
7.3,33.238,41.3315,-7.59992e-09
7.32,33.2579,41.5867,-7.59992e-09
7.34,33.279,41.8579,-7.59992e-09
7.36,33.3013,42.145,-7.59992e-09
7.38,33.3249,42.4481,-7.59992e-09
7.4,33.3497,42.7671,-7.59992e-09
7.42,33.3758,43.1021,-7.59992e-09
7.44,33.4031,43.4531,-7.59992e-09
7.46,33.4316,43.8199,0
7.48,33.4614,44.2028,1.46025e-08
7.5,33.4925,44.6016,0
7.52,33.5247,45.0163,0
7.54,33.5583,45.447,0
7.56,33.593,45.8937,0
7.58,33.629,46.3563,0
7.6,33.6662,46.8348,1.51998e-08
7.62,33.7044,47.3253,0
7.64,33.7426,47.8159,-7.30124e-09
7.66,33.7808,48.3064,-7.30124e-09
7.68,33.8189,48.7969,-7.30124e-09
7.7,33.8571,49.2874,-7.30124e-09
7.72,33.8953,49.7779,-7.30124e-09
7.74,33.9334,50.2684,-1.49012e-08
7.76,33.9716,50.759,-2.22024e-08
7.78,34.0098,51.2495,-2.22024e-08
7.8,34.0479,51.74,-2.22024e-08
7.82,34.0861,52.2305,-2.22024e-08
7.84,34.1243,52.721,-2.22024e-08
7.86,34.1625,53.2116,-2.98023e-08
7.88,34.2006,53.7021,-1.51998e-08
7.9,34.2388,54.1926,-1.51998e-08
7.92,34.277,54.6831,-1.51998e-08
7.94,34.3151,55.1736,-1.51998e-08
7.96,34.3533,55.6641,-1.51998e-08
7.98,34.3915,56.1547,-1.51998e-08
8,34.4297,56.6452,0
8.02,34.4678,57.1357,0
8.04,34.506,57.6262,-7.30124e-09
8.06,34.5442,58.1167,-1.46025e-08
8.08,34.5803,58.6074,-7.30124e-09
8.1,34.5966,59.099,-7.30124e-09
8.12,34.5802,59.5906,0
8.14,34.5311,60.0801,0
8.16,34.4508,60.5653,-1.51998e-08
8.18,34.3371,61.0438,-1.51998e-08
8.2,34.1946,61.5145,-7.59992e-09
8.22,34.0218,61.975,0
8.24,33.8194,62.4232,0
8.26,33.5883,62.8573,0
8.28,33.3294,63.2754,0
8.3,33.0439,63.6758,0
8.32,32.7329,64.0568,7.30124e-09
8.34,32.3965,64.4154,7.30124e-09
8.36,32.0391,64.7531,7.30124e-09
8.38,31.6607,65.0672,1.46025e-08
8.4,31.2627,65.3563,1.46025e-08
8.42,30.8468,65.6192,1.46025e-08
8.44,30.4131,65.8515,2.22024e-08
8.46,29.9655,66.0553,2.22024e-08
8.48,29.5058,66.23,2.98023e-08
8.5,29.0358,66.3746,2.98023e-08
8.52,28.5578,66.4899,2.98023e-08
8.54,28.0731,66.573,2.98023e-08
8.56,27.584,66.6243,2.98023e-08
8.58,27.0926,66.6438,2.98023e-08
8.6,26.6007,66.6439,2.98023e-08
8.62,26.1087,66.6399,2.98023e-08
